[796619]    $DSM09,055634,+62.27350,+026.16351,7626.0,88.0,263.0,0F
[796643]    $DSM0A,055637,+62.24597,+026.14206,144.0,0.0,0.0,0F
[796675]    $DSM0B,055637,+62.24603,+026.14212,124.0,0.0,109.7,0F
[796722]    $DSM0C,055637,+62.25364,+026.07577,86.0,20.0,91.4,0F
[796850]    $DSM10,055637,+62.24567,+026.14227,122.0,0.0,191.2,0F
[796930]    $DSM12,055637,+62.24586,+026.14214,126.0,5.0,149.1,0F
[796994]    $DSM14,055637,+62.25306,+026.08470,98.0,24.0,97.0,0F
[797138]    $DSM18,055637,+62.25365,+026.07388,88.0,24.0,84.4,0F
[797170]    $DSM19,055637,+62.24364,+026.14598,126.0,0.0,175.8,0F
[797266]    $DSM00,055637,+62.27380,+026.15750,7814.0,81.0,257.3,0F
[797345]    $DSM01,055638,+62.24304,+025.73919,168.0,0.0,0.0,0F
[797617]    $DSM09,055635,+62.27315,+026.16044,7626.0,86.0,258.7,0F
[797649]    $DSM0A,055638,+62.24597,+026.14206,144.0,0.0,0.0,0F
[797681]    $DSM0B,055638,+62.24603,+026.14212,124.0,0.0,109.7,0F
[797857]    $DSM10,055638,+62.24567,+026.14227,122.0,0.0,191.2,0F
[797921]    $DSM12,055638,+62.24584,+026.14216,128.0,5.0,146.2,0F
[798001]    $DSM14,055638,+62.25303,+026.08515,98.0,24.0,97.0,0F
[798033]    $DSM15,055638,+62.24606,+026.14053,122.0,6.0,174.4,0F
[798129]    $DSM18,055638,+62.25365,+026.07436,86.0,24.0,87.2,0F
[798177]    $DSM19,055638,+62.24364,+026.14598,126.0,0.0,175.8,0F
[798273]    $DSM00,055638,+62.27351,+026.15600,7816.0,80.0,254.5,0F
[798336]    $DSM01,055639,+62.24304,+025.73919,168.0,0.0,0.0,0F
[798608]    $DSM09,055636,+62.27315,+026.16044,7626.0,86.0,258.7,0F
[798656]    $DSM0A,055639,+62.24597,+026.14206,144.0,0.0,0.0,0F
[798687]    $DSM0B,055639,+62.24603,+026.14212,124.0,0.0,109.7,0F
[798863]    $DSM10,055639,+62.24567,+026.14227,122.0,0.0,191.2,0F
[798928]    $DSM12,055639,+62.24583,+026.14216,128.0,3.0,156.1,0F
[798992]    $DSM14,055639,+62.25300,+026.08562,100.0,24.0,97.0,0F
[799039]    $DSM15,055639,+62.24601,+026.14058,122.0,6.0,168.7,0F
[799168]    $DSM19,055639,+62.24364,+026.14598,126.0,0.0,175.8,0F
[799279]    $DSM00,055639,+62.27307,+026.15442,7816.0,80.0,250.3,0F
[799343]    $DSM01,055640,+62.24304,+025.73919,168.0,0.0,0.0,0F
[799615]    $DSM09,055638,+62.27234,+026.15669,7626.0,86.0,250.3,0F
[799647]    $DSM0A,055640,+62.24597,+026.14206,144.0,0.0,0.0,0F
[799694]    $DSM0B,055640,+62.24603,+026.14212,124.0,0.0,109.7,0F
[799711]    $DSM0C,055640,+62.25360,+026.07700,84.0,22.0,94.2,0F
[799855]    $DSM10,055640,+62.24567,+026.14227,122.0,0.0,191.2,0F
[799919]    $DSM12,055640,+62.24583,+026.14216,130.0,0.0,156.1,0F
[799998]    $DSM14,055640,+62.25296,+026.08609,102.0,24.0,95.6,0F
[800030]    $DSM15,055640,+62.24598,+026.14066,122.0,5.0,143.4,0F
[800142]    $DSM18,055640,+62.25365,+026.07528,84.0,24.0,88.6,0F
[800174]    $DSM19,055640,+62.24362,+026.14600,126.0,1.0,175.8,0F
[800270]    $DSM00,055640,+62.27259,+026.15287,7814.0,81.0,246.1,0F
[800334]    $DSM01,055641,+62.24304,+025.73919,168.0,0.0,0.0,0F
[800606]    $DSM09,055638,+62.27234,+026.15669,7626.0,86.0,250.3,0F
[800653]    $DSM0A,055641,+62.24597,+026.14206,144.0,0.0,0.0,0F
[800686]    $DSM0B,055641,+62.24603,+026.14212,124.0,0.0,109.7,0F
[800861]    $DSM10,055641,+62.24567,+026.14227,122.0,0.0,191.2,0F
[800925]    $DSM12,055641,+62.24583,+026.14216,128.0,0.0,156.1,0F
[801005]    $DSM14,055641,+62.25293,+026.08657,102.0,24.0,95.6,0F
[801037]    $DSM15,055641,+62.24598,+026.14079,124.0,6.0,111.1,0F
[801133]    $DSM18,055641,-72.74636,+026.07573,84.0,24.0,90.0,0B
[801180]    $DSM19,055641,+62.24359,+026.14600,126.0,2.0,170.2,0F
[801277]    $DSM00,055641,+62.27195,+026.15135,7810.0,83.0,241.9,0F
[801340]    $DSM01,055642,+62.24304,+025.73919,168.0,0.0,0.0,0F
[801612]    $DSM09,055640,+62.27148,+026.15345,7626.0,88.0,244.7,0F
[801644]    $DSM0A,055642,+62.24597,+026.14206,144.0,0.0,0.0,0F
[801692]    $DSM0B,055642,+62.24603,+026.14212,124.0,0.0,109.7,0F
[801852]    $DSM10,055642,+62.24567,+026.14227,122.0,0.0,191.2,0F
[801932]    $DSM12,055642,+62.24583,+026.14216,128.0,0.0,156.1,0F
[801996]    $DSM14,055642,+62.25292,+026.08702,104.0,24.0,95.6,0F
[802028]    $DSM15,055642,+62.24600,+026.14092,124.0,6.0,88.6,0F
[802172]    $DSM19,055642,+62.24356,+026.14602,126.0,3.0,168.7,0F
[802268]    $DSM00,055642,+62.27123,+026.14987,7806.0,85.0,237.7,0F
[802347]    $DSM01,055643,+62.24304,+025.73919,168.0,0.0,0.0,0F
[802619]    $DSM09,055641,+62.27148,+026.15345,7626.0,88.0,244.7,0F
[802651]    $DSM0A,055643,+62.24597,+026.14206,144.0,0.0,0.0,0F
[802683]    $DSM0B,055643,+62.24603,+026.14212,124.0,0.0,109.7,0F
[802715]    $DSM0C,055643,+62.25352,+026.07833,86.0,24.0,98.4,0F
[802859]    $DSM10,055643,+62.24567,+026.14227,122.0,0.0,191.2,0F
[802938]    $DSM12,055643,+62.24583,+026.14216,128.0,0.0,156.1,0F
[803002]    $DSM14,055643,+62.25289,+026.08749,104.0,24.0,95.6,0F
